,Open,High,Low,Close,Volume,Dividends,Stock Splits,income_stmt,cashflow
1986-03-13,0.05459446349683934,0.06262313349269658,0.05459446349683934,0.05994649976491928,1031788800.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-14,0.05994650149694062,0.06315833894432483,0.05994650149694062,0.06208731606602669,308160000.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-17,0.0620873031946993,0.063693529382282,0.0620873031946993,0.06315832585096359,133171200.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-18,0.06315833372189104,0.06369353731990766,0.061016903736120336,0.06155210733413696,67766400.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-19,0.06155210446711306,0.06208730804020054,0.05994649374785063,0.06048169732093811,47894400.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-20,0.06048168524935677,0.06048168524935677,0.058340871384293384,0.058876074850559235,58435200.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-21,0.05887608924866086,0.059946496442959796,0.056200071262913515,0.05727047845721245,59990400.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-24,0.05727047027415558,0.05727047027415558,0.055129656191446635,0.05566485971212387,65289600.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-25,0.0556648735929185,0.05673528090119362,0.05512966993878095,0.05673528090119362,32083200.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-26,0.05673527035585168,0.05887608457449038,0.056200066801192,0.058340881019830704,22752000.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-27,0.05834089484590767,0.059411302208900445,0.05834089484590767,0.05941130220890045,16848000.0,0.08,2.0,20855987.382214,19827000000.0
1986-03-31,0.05941127831682508,0.05941127831682508,0.057805667918027534,0.058876074850559235,12873600.0,0.08,2.0,20855987.382214,19827000000.0
1986-04-01,0.05887608457449038,0.05887608457449038,0.058340881019830704,0.058340881019830704,11088000.0,0.08,2.0,20855987.382214,19827000000.0
1986-04-02,0.058340871384293384,0.05994648178309093,0.058340871384293384,0.058876074850559235,27014400.0,0.08,2.0,20855987.382214,19827000000.0
1986-04-03,0.059411302208900445,0.061016913253389614,0.059411302208900445,0.05941130220890045,23040000.0,0.08,2.0,20855987.382214,19827000000.0
1986-04-04,0.059411302208900445,0.05994650589039684,0.059411302208900445,0.05941130220890045,26582400.0,0.08,2.0,20855987.382214,19827000000.0
1986-04-07,0.05941128812915006,0.059946491683809736,0.057270473910511356,0.058340881019830704,16560000.0,0.08,2.0,20855987.382214,19827000000.0
1986-04-08,0.058340871384293384,0.05994648178309093,0.058340871384293384,0.058876074850559235,10252800.0,0.08,2.0,20855987.382214,19827000000.0
